id,country,region,type,use,Li,Na,Mg,Al,P,K,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Zr,Nb,Mo,Pd,Sn,Sb,Ba,La,Ce,Pr,Ir,DeltaD,Delta18O,C13,C13protein
M1,Romania,Transylvania,acacia,model,0.007,12.475,18.661,0.9925,76.7065,201.3385,3.7735,5.753,0.5485,28.211,0.043,1.1045,0.1295,0.4345,0.0085,0.9945,0.3575,0.033,0.0165,0.002,0.0035,0.3335,0.003,0.21,0.003,0.0725,0.0015,0.004,0.0,0.0,-0.8,-0.4,-23.7,-24.885
M2,Romania,Moldova,acacia,model,0.0135,17.8755,16.6505,2.3505,46.84,160.196,2.121,5.5955,0.548,34.9645,0.057,1.25,0.229,0.918,0.007,0.4605,0.143,0.042,0.003,0.171,0.0015,0.281,0.045,0.1935,0.002,0.0945,0.0015,0.0055,0.0005,0.0,-0.8,-1.5,-25.1,-25.493
M3,Romania,Dobrogea,acacia,model,0.0375,13.8055,11.357,0.8895,52.9005,165.4815,1.5915,6.0995,0.713,23.2345,0.07,4.7125,0.177,1.2855,0.006,0.425,0.283,0.052,0.0075,0.002,0.0065,0.2145,0.004,0.149,0.0015,0.0025,0.001,0.004,0.001,0.0015,4.5,-0.9,-24.9,-26.302
M4,Romania,Dobrogea,acacia,model,0.0315,8.61,8.0255,0.0290000000000001,48.1895,98.996,1.358,1.897,0.2285,5.314,0.0205,0.203,0.215,0.118,0.005,0.4415,0.1435,0.051,0.003,0.0,0.0005,0.0545,0.0,0.1605,0.0005,0.0105,0.002,0.002,0.0005,0.001,1.5,-0.7,-25.4,-25.74
M5,Romania,Crisana,acacia,model,0.062,7.794,7.5555,0.2455,50.403,174.95,1.0015,1.4765,0.338,1.9985,0.117,0.124,0.2995,0.293,0.004,0.2535,0.23,0.0405,0.005,0.0,0.0015,0.012,0.0,0.0945,0.0005,0.059,0.002,0.002,0.0,0.0005,-5.1,-1.4,-24.0,-25.74
M6,Romania,Transylvania,acacia,model,0.007,11.7765,14.529,1.2335,41.7115,151.856,1.0375,6.991,0.5465,37.8815,0.039,1.6175,0.0885,0.49,0.005,0.3555,0.177,0.036,0.0075,0.0135,0.004,0.2985,0.0,0.2325,0.0005,0.028,0.0005,0.0,0.0005,0.0005,1.8,-1.2,-24.2,-26.939
M7,Romania,Transylvania,acacia,model,0.0315,39.4645,36.7785,1.0105,45.8545,387.996,0.4955,5.441,1.441,28.234,0.037,1.1165,0.2275,0.894,0.001,0.1565,0.712,0.198,0.0,0.0045,0.0035,0.2475,0.0055,0.2215,0.0005,0.194,0.0015,0.003,0.0005,0.0,-4.0,0.7,-25.1,-26.577
M8,Romania,Transylvania,acacia,model,0.0195,13.635,19.342,0.2955,62.0265,252.418,0.6615,0.8965,0.504,0.300500000000001,0.015,1.752,0.358,0.595,0.003,0.2005,0.3825,0.1025,0.017,0.0,0.0,0.0275,0.0,0.266,0.0,0.051,0.0005,0.0,0.0005,0.0005,-17.5,-2.0,-25.8,-26.577
M9,Romania,Transylvania,acacia,model,0.0315,13.1605,34.992,0.6425,62.148,899.1645,0.568,2.551,0.8385,9.5705,0.02,0.6055,0.261,0.6995,0.0045,0.1815,1.027,0.232,0.0105,0.0,0.0015,0.092,0.002,0.101,0.0,0.1475,0.002,0.0055,0.0005,0.0005,-5.9,1.3,-25.5,-25.506
M10,Romania,Transylvania,acacia,model,0.0175,22.1145,10.1525,0.369,50.0675,286.513,0.0645,0.0600000000000001,0.17,0.463500000000002,0.015,0.6855,0.1535,0.665,0.007,0.1245,0.2305,0.013,0.000499999999999999,0.013,0.0025,0.0225,0.0,0.1015,0.0,0.1875,0.0015,0.0055,0.0,0.0,-8.6,0.7,-25.3,-25.277
M11,Romania,Transylvania,acacia,model,0.0865,15.8965,19.6715,0.542,58.0975,482.148,0.5055,3.7415,5.167,10.982,0.3335,30.5865,0.8265,0.741,0.005,0.212,0.976,0.309,0.0075,0.0,0.006,0.036,0.0,0.11,0.0,0.2,0.002,0.0015,0.0015,0.001,-4.7,-0.7,-25.3,-26.033
M12,Romania,Oltenia,acacia,model,0.4095,93.265,103.613,1.368,140.639,625.434,0.4055,1.2865,9.2455,5.8135,0.084,7.9065,0.889,1.457,0.0085,0.1895,3.522,0.159,0.01,0.018,0.007,0.0275,0.001,0.0765,0.0,0.417,0.003,0.012,0.0005,0.0005,9.5,4.2,-25.3,-25.989
M13,Romania,Oltenia,acacia,model,0.129,24.4265,48.458,5.471,119.8345,731.209,0.556,4.437,6.919,29.015,0.0345,1.2835,0.5825,1.458,0.003,0.2035,0.959,0.4625,0.01,0.0135,0.0065,0.1335,0.019,0.226,0.0015,0.3175,0.005,0.088,0.0025,0.003,-16.3,-1.4,-25.7,-26.475
